YouTube URL,Chunk Number,Chunk Filename,Transcript,lie,Video ID,Speech ID,Speaker,Middle Class / American Dream,National Security / Immigration,Appreciation,Danger,Economic Growth / Job Creation,top topic
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,2,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk1.wav",good evening everyone. Good evening  good evening everyone. Good evening,False,-ofJu78Wpn0,1,Kamala Harris,0.009523809523809526,0.009523809523809526,0.39047619047619053,0.580952380952381,0.009523809523809526,Danger
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,3,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk2.wav",thank you thank you thank you thank you  thank you everyone but thank you thank you,False,-ofJu78Wpn0,1,Kamala Harris,0.12941176470588237,0.011764705882352941,0.8352941176470587,0.011764705882352941,0.011764705882352941,Appreciation
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,4,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk3.wav",thank you all  thank you all okay  we got to get something business okay thank you all thank you thank you thank you thank you thank you thank you thank you please thank you please thank you so very much,False,-ofJu78Wpn0,1,Kamala Harris,0.0046511627906976735,0.0046511627906976735,0.9813953488372092,0.0046511627906976735,0.0046511627906976735,Appreciation
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,5,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk4.wav",thank you everyone thank you everyone thank you okay let's get to business let's get them all right  so let me start by thanking my most incredible husband Doug  for being an incredible partner to me and incredible father to call in Ella and happy anniversary Dougie,False,-ofJu78Wpn0,1,Kamala Harris,0.003636363636363636,0.22181818181818178,0.7309090909090908,0.003636363636363636,0.04,Appreciation
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,6,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk5.wav",I love you so very much  do our President Joe Biden  when I think about the path that we have traveled together Joe I am filled with gratitude your record is extraordinary as history will show and your character is inspiring and Doug and I love you and,False,-ofJu78Wpn0,1,Kamala Harris,0.05365853658536586,0.44390243902439025,0.004878048780487805,0.4926829268292683,0.004878048780487805,Danger
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,7,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk6.wav",well and are forever thankful to you both  and to coach Tim walz  you are going to be an incredible vice president  answer the delegates and everyone who has put your faith in,False,-ofJu78Wpn0,1,Kamala Harris,0.5870967741935484,0.07096774193548389,0.32903225806451614,0.006451612903225807,0.006451612903225807,Middle Class / American Dream
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,8,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk7.wav",our campaign your support is humbling  so America  the path that led me here in recent weeks was no doubt unexpected  but I'm no stranger to unlikely Journeys so  my mother our mother Kamala Harris had one of her own and I miss her every day and especially right now  and I know she's looking down smiling,False,-ofJu78Wpn0,1,Kamala Harris,0.230188679245283,0.0037735849056603774,0.041509433962264156,0.7207547169811321,0.0037735849056603774,Danger
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,9,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk8.wav",I know that so my mother was 19 when she crossed the world alone traveling from India to California with an unshakable dream to be these scientists who would Cure breast cancer  when she finished school she was supposed to return home to a traditional arranged marriage but as fate would,False,-ofJu78Wpn0,1,Kamala Harris,0.0037735849056603774,0.15471698113207547,0.041509433962264156,0.15471698113207547,0.6452830188679246,Economic Growth / Job Creation
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,10,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk9.wav",she met my father Donald Harris a student from Jamaica  babe they fell in love and got married and that act of self-determination made my sister Maya and me  growing up we moved a lot I will always remember that big Mayflower truck packed with all our belongings ready to go to l.a.,False,-ofJu78Wpn0,1,Kamala Harris,0.06885245901639345,0.26557377049180325,0.06885245901639345,0.5934426229508197,0.003278688524590164,Danger
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,11,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk10.wav",do Wisconsin  and wherever our parents jobs took us my early memories of our parents together are very joyful ones a home filled with laughter and music Aretha Coltrane and miles  at the park my mother would say they close but my father,False,-ofJu78Wpn0,1,Kamala Harris,0.00392156862745098,0.08235294117647059,0.08235294117647059,0.19999999999999998,0.6313725490196079,Economic Growth / Job Creation
