YouTube URL,Chunk Number,Chunk Filename,Transcript
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,1,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk0.wav",
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,2,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk1.wav",good evening everyone. Good evening  good evening everyone. Good evening
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,3,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk2.wav",thank you thank you thank you thank you  thank you everyone but thank you thank you
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,4,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk3.wav",thank you all  thank you all okay  we got to get something business okay thank you all thank you thank you thank you thank you thank you thank you thank you please thank you please thank you so very much
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,5,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk4.wav",thank you everyone thank you everyone thank you okay let's get to business let's get them all right  so let me start by thanking my most incredible husband Doug  for being an incredible partner to me and incredible father to call in Ella and happy anniversary Dougie
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,6,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk5.wav",I love you so very much  do our President Joe Biden  when I think about the path that we have traveled together Joe I am filled with gratitude your record is extraordinary as history will show and your character is inspiring and Doug and I love you and
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,7,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk6.wav",well and are forever thankful to you both  and to coach Tim walz  you are going to be an incredible vice president  answer the delegates and everyone who has put your faith in
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,8,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk7.wav",our campaign your support is humbling  so America  the path that led me here in recent weeks was no doubt unexpected  but I'm no stranger to unlikely Journeys so  my mother our mother Kamala Harris had one of her own and I miss her every day and especially right now  and I know she's looking down smiling
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,9,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk8.wav",I know that so my mother was 19 when she crossed the world alone traveling from India to California with an unshakable dream to be these scientists who would Cure breast cancer  when she finished school she was supposed to return home to a traditional arranged marriage but as fate would
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,10,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk9.wav",she met my father Donald Harris a student from Jamaica  babe they fell in love and got married and that act of self-determination made my sister Maya and me  growing up we moved a lot I will always remember that big Mayflower truck packed with all our belongings ready to go to l.a.
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,11,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk10.wav",do Wisconsin  and wherever our parents jobs took us my early memories of our parents together are very joyful ones a home filled with laughter and music Aretha Coltrane and miles  at the park my mother would say they close but my father
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,12,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk11.wav","play as he smiled run, run Don't Be Afraid don't let anything stop you  from my earliest years he taught me to be Fearless but the harmony between my parents did not last when I was in elementary school they split up and it was mostly my mother who raised us  before she could finally afford to buy"
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,13,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk12.wav",home she rented a small apartment in the East Bay in a bay  in the bay  you either live in the Hills or the Flatlands we lived in the flats a beautiful working-class neighborhood of firefighters nurses and construction workers  all who tended their lawns with pride
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,14,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk13.wav",my mother she worked long hours and like many working parents she leaned on a trusted Circle to help raise us Mrs Shelton who ran the daycare below us and became a second mother Uncle Sherman Mary Uncle Freddy Auntie Chris none of them family by Blood and all of them family by love
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,15,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk14.wav",family who taught us how to make gumbo how to play chess and sometimes even let us win  family Who Loved Us believed in us and told us we could be anything and do anything  they instilled in us the values Vape
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,16,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk15.wav",trying to find community space and the importance of treating others as you would want to be treated  with kindness  respect and compassion  my mother was a brilliant 5 ft tall brown woman with an accent  and as the eldest child as the eldest child I saw
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,17,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk16.wav",how the world would sometimes treat her  but my mother never lost her cool she was tucked courageous a Trailblazer in the fight for Women's Health and she taught Maya and me a lesson that Michelle mentioned the other night she taught us to never complain about Injustice but do something about it do something about it
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,18,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk17.wav",that was my mother  and she taught us and she always she also told us she also taught us and never do anything half-assed and that is a direct quote  a direct quote  I grew up in Merced in the ideals of the Civil Rights Movement my parents had met at a civil rights Gathering and they make sure that we
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,19,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk18.wav",learned about civil rights leaders including the lawyers like Thurgood Marshall and Constance Baker Motley  those who battled in the courtroom to make real the promise of America so at a young age I decided I wanted to do that work I wanted to be a lawyer and when it came time to choose the type of law I would pursue I reflected on a pivotal moment
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,20,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk19.wav",my life  you see when I was in high school I started to notice something about my best friend Wanda  she was sad at school  and there were times she didn't want to go home  so one day I asked if everything was all right and she confided in me that she was being sexually abused by her stepfather and I immediately told her she had to come stay with us and she did  this is one of the reasons
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,21,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk20.wav",I became a prosecutor to protect people like Wanda because I believe everyone has a right to safety to dignity and to Justice  every prosecutor when I had a case  I charged it not in the name of the victim but in the name of the people
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,22,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk21.wav",for a simple reason in our system of justice a harm against any one of us is a harm against all of us  and I would often explain this to cancel survivors of crime to remind them no one should be made to fight alone we are all
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,23,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk22.wav",in this together  and every day  in the courtroom I stood proudly before I judge and I said five words  Kamala Harris for the people  and to be clear  and to be clear my entire career I've only had one
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,24,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk23.wav",giant the people  and so on behalf of the people  on behalf of every American regardless of party race gender or the language your grandmother speaks  on behalf of my mother and everyone was ever set out
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,25,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk24.wav",their own unlikely Journey  on behalf of Americans like the people I grew up with people who work hard chase their dreams and look out for one another  on behalf of everyone whose story could only be written in the greatest nation on Earth  I accept your nomination
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,26,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk25.wav",the United States of America  and what's that selection  and what type of election our nation
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,27,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk26.wav",Jason with this election has a precious fleeting opportunity to move past the bitterness cynicism and divisive battles of the past a chance to chart a new way forward  not not as members of any one party or faction but as American
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,28,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk27.wav",and let me say I know there are people of various political views watching tonight and I want you to know I promise to be a president for all Americans you can always trust me to put country above party and self to hold sacred America's fundamental principles from the rule of law to free and fair
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,29,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk28.wav",elections to the peaceful transfer of power  I will be a President Who unites us around our highest aspirations a president who leads and listen who is realistic practical and has come
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,30,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk29.wav",sense  and always fight for the American people  from the courthouse to the White House that has been my life's work  as a young courtroom prosecutor in Oakland California I stood up  are women and children against predators who abused them as Attorney General of California
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,31,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk30.wav",I took on the Big Bang  delivered 20 billion dollars from middle-class families who faced foreclosure and help pass a homeowner Bill of Rights one of the first of its kind in the nation  I stood up for veterans and students being scammed by big for-profit colleges  for workers
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,32,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk31.wav",her being cheated out of their wages the wages they were do  for seniors facing elder abuse I thought against the cartels who traffic in guns and drugs and human beings who threaten the security of our border and the safety of our community  and I will tell you this fine we're not easy and neither were the elections that put
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,33,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk32.wav",in those offices  we were underestimated at practically every turn  but we never gave up because the future is always worth fighting for  and that's the fight we are in right now a fight for America's future
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,34,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk33.wav",fellow Americans this election is not only the most important of Our Lives  it is one of the most important in the life of our nation  in many ways Donald Trump is an unserious man  what the consequences
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,35,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk34.wav",consequences of putting Donald Trump back in the White House are extremely serious  consider consider not only the chaos and Calamity when he was in office but also the gravity of what has happened since he lost the last election  Donald Trump try to throw away your votes when he
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,36,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk35.wav",tell he sent an armed mob to the United States Capitol where they assaulted law enforcement officers  when politicians in his own party begged him to call off the mob and send help he did the opposite he fanned the flames  and now for an entirely different set of time
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,37,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk36.wav",he was found guilty of fraud by a jury of everyday Americans  and separately  and separately found liable for committing sexual abuse  and consider  consider what he intends to do if we give him power again consider his explicit intent to set free violence
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,38,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk37.wav",who assaulted those law enforcement officers at the Capitol intent to jail journalists political opponents and anyone he sees as the enemy his explicit intent to deploy our active-duty military against our own citizens  consider consider the power he
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,39,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk38.wav",especially after the United States Supreme Court just ruled that he would be immune from Criminal prosecution  just imagine Donald Trump with no guardrail  and how he would use the immense powers of the presidency of the United States
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,40,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk39.wav",to improve your life not to strengthen our national security but just serve the only client he has ever had himself  and we know and we know what a second Trump term would look like it's all laid out in Project 2025 written by his clothes
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,41,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk40.wav",most advisers and it's some total is to pull our country back to the past  but America we are not going back we are not going fast  we are not going back  we are not going back to when Donald Trump tries to cut Social Security and Medicare we are not going back
https://youtu.be/-ofJu78Wpn0?si=H_BZ0KSYr_raPUac,42,"/Users/milanvaghani/Desktop/Unstructed Machine Learning/VP Kamala Harris full speech at 2024 DNC (Aug. 22, 2024)_chunk41.wav",funny tried to get rid of the Affordable Care Act when insurance companies could deny people with pre-existing conditions we are not going to let him eliminate the Department of Education that funds are public school  we are not going to let him and programs like Head Start that provide free schools and child care for our children America we are not going back
